constant type,value,seconds required
trivial,3340.529653661512,0.0003788471221923828
ECLipsE,"tensor(11.2035, dtype=torch.float64)",17.27188992500305
ECLipsE_Fast,"tensor(11.2035, dtype=torch.float64)",0.005487680435180664
accuracy on train,0.9765166666666667,0
accuracy on test,0.9643,0
dmoc_union_E,0.24227915513633905,258.79339241981506
dmoc_train_E,0.23969102278285107,107.95608425140381
dmoc_test_E,0.20311334866020303,3.074453115463257
dmoc_union_T,0.05186385153619168,228.84633111953735
dmoc_train_T,0.05186385153619168,101.65414094924927
dmoc_test_T,0.03605518977518507,2.58843994140625
