constant type,value,seconds required
trivial,40783.277339984445,0.0007009506225585938
ECLipsE,"tensor(0.4841, dtype=torch.float64)",29.351505756378174
ECLipsE_Fast,"tensor(0.4841, dtype=torch.float64)",0.048467397689819336
accuracy on train,0.800000011920929,0
accuracy on test,0.3333333432674408,0
dmoc_union_E,0.04327512070025344,0.0008738040924072266
dmoc_train_E,0.04327512070025344,0.0007560253143310547
dmoc_test_E,0.04095726352970318,0.0006256103515625
dmoc_union_T,0.05857766971735594,0.0008387565612792969
dmoc_train_T,0.05857766971735594,0.0007631778717041016
dmoc_test_T,0.04869024209364996,0.0005958080291748047
