constant type,value,seconds required
trivial_l2,1.0971376515105358,0.00014591217041015625
trivial_l1,0.7234916687011719,5.984306335449219e-05
ECLipsE,"tensor(1.0971, dtype=torch.float64)",8.916854858398438e-05
ECLipsE_Fast,"tensor(1.0971, dtype=torch.float64)",3.0994415283203125e-05
dmoc_union_E,1.0925229865291606,5.81104302406311
dmoc_train_E,1.0902706966326285,3.9746499061584473
dmoc_test_E,1.0867837779801863,0.2067430019378662
dmoc_union_T,0.6883905512243561,5.830142974853516
dmoc_train_T,0.6883905512243561,3.2881312370300293
dmoc_test_T,0.6749482226052411,0.1790018081665039
