model_path,split_type,norm,model_id,arel_data_tr,arel_data_un,norm_arel_data_tr,norm_arel_data_un,srel_data_tr,srel_data_un,r_data_tr,r_data_un
linear-california,test,E,0,1.93920448894794,3.4280333282996,0.607783250997078,1.07441028147094,0.143818313340684,0.032450697926933,0.673685636575347,0.48851390067065
linear-california,test,T,0,1.96881068676244,4.3105135387376,0.617430593400064,1.35180235965617,0.139622812767816,0.0134266527172036,0.708443073822832,0.447113885504476
linear-california,train,E,0,2.15715363407315,7.12254995535277,0.641743173266159,2.11892548490583,0.115653846147131,0.000806707059195227,0.655571063656607,0.382895213759226
linear-california,train,T,0,2.1530375834275,7.59262120413408,0.644829580729567,2.27397179937108,0.116130864277163,0.000504157819926746,0.6833880368183,0.394792204924538
linear-california,union,E,0,2.20091713240481,7.192992671955,0.649647612163511,2.12316513186455,0.110701583781035,0.000751835752608276,0.639071889911565,0.371849301678204
linear-california,union,T,0,2.19960891741645,7.79816708454974,0.653038438817591,2.31518558513324,0.110846500022304,0.000410486677242501,0.669879089283732,0.381083735033565
linear-california,test,E,1,1.8831663371949,2.18503655989468,0.590219837625026,0.684831657253818,0.152107718133412,0.112473621555363,0.680143761816197,0.289839403960663
linear-california,test,T,1,1.95334497935409,4.62737622188181,0.61258045673294,1.45117235789698,0.14179896281195,0.00978038703212222,0.706803805765379,0.27351873010359
linear-california,train,E,1,2.16792686385799,5.4391844418332,0.64494815902111,1.618132073927,0.114414568186324,0.00434302381532383,0.657602391853336,0.381408798305693
linear-california,train,T,1,2.18964657718344,6.26314739293009,0.655793886358171,1.87579758872638,0.1119563095403,0.00190523981167992,0.678499235151784,0.394272317487987
linear-california,union,E,1,2.19410864261618,5.9178695453316,0.647637941254735,1.7467853571657,0.111457866032298,0.00269092697237935,0.641684086442253,0.344251821446417
linear-california,union,T,1,2.2241635835737,7.96784927347898,0.660328435110139,2.36556226385832,0.108157845811039,0.0003464232469209,0.665298921025523,0.338789545940106
linear-california,test,E,2,1.90974975401878,3.04174903884083,0.598551581694263,0.953341501672621,0.148117447754115,0.0477512975386247,0.683226666539954,0.305170784838622
linear-california,test,T,2,1.95741795388013,6.07158683068305,0.613857765463244,1.90408528608367,0.14122259381351,0.00230750867830279,0.710786521031361,0.282125056088519
linear-california,train,E,2,2.19474230106401,6.7135554093793,0.652925626871936,1.9972515097027,0.111387262185635,0.00121433896815,0.660704945254201,0.358154012159125
linear-california,train,T,2,2.21299688862562,7.7012713847965,0.662787248505245,2.30651226730439,0.109372380027492,0.000452251831115281,0.679555042841,0.37928126230178
linear-california,union,E,2,2.23009890775671,7.22028259134293,0.658261235274048,2.13122033335554,0.107517795265932,0.000731595647069503,0.644458726821917,0.330410760228785
linear-california,union,T,2,2.24767019583583,9.66802130927593,0.667307276326868,2.87032367084618,0.105645070389261,6.32749330713573e-05,0.666698014023053,0.330965056669658
linear-california,test,E,3,1.96057406320572,2.4950517953977,0.614480878497859,0.781996277471293,0.140777582489783,0.0824921785658937,0.675616163667796,0.315968618457202
linear-california,test,T,3,2.00233150106519,4.98568160622418,0.627942917619634,1.56353903060981,0.135020116428231,0.00683511758065962,0.707891227297165,0.294954551760471
linear-california,train,E,3,2.20709993785322,5.11363665347546,0.656601966341649,1.52128312100565,0.110019248971014,0.00601417164766466,0.654866385595353,0.413838385547426
linear-california,train,T,3,2.21114901194274,6.01991186650917,0.662233813880679,1.80294913325686,0.109574673547471,0.00242988373972409,0.680626612828124,0.440644255806919
linear-california,union,E,3,2.26479738644972,5.89955886458531,0.668503230984257,1.74138056938484,0.103851074044094,0.00274065355148232,0.637967408007617,0.356232481593058
linear-california,union,T,3,2.26386188858151,8.19597856926248,0.672114402570417,2.43329121239431,0.103948271959605,0.000275760294096318,0.667110016107429,0.363978487978645
linear-california,test,E,4,1.87294474426392,2.32359579414949,0.587016197669896,0.728258733836515,0.153670474633729,0.0979208485851175,0.683674898123162,0.224065955453224
linear-california,test,T,4,1.95075623281896,5.00644257353395,0.611768610616859,1.57004979187894,0.142166519936462,0.00669467681541302,0.705411121581712,0.241783599587556
linear-california,train,E,4,2.16094257162078,5.02850139549971,0.64287036456432,1.49595577771994,0.115216470065515,0.00654861700764676,0.662140154647959,0.378259143170892
linear-california,train,T,4,2.20167478462373,5.97943719524071,0.659396305572936,1.79082706650563,0.110617742245818,0.00253024992827895,0.67494672270975,0.403804389584409
linear-california,union,E,4,2.18689455654487,5.85926696111709,0.645508549956369,1.72948755510808,0.112264839961091,0.00285333452140311,0.64589448140617,0.328030839798903
linear-california,union,T,4,2.23491755211017,8.272315345902,0.663521163948681,2.45595471818678,0.107000951492107,0.000255493051112429,0.66189063158878,0.339936550304135
linear-california,test,E,5,1.90144832202722,2.55442477210313,0.595949756382639,0.80060488786234,0.14935215249144,0.0777369356627025,0.678618246805977,0.293658269481425
linear-california,test,T,5,1.96236576391384,5.21959197915047,0.615409427746309,1.6368946972208,0.140525577022151,0.00540953587963484,0.707369182257535,0.285024816819401
linear-california,train,E,5,2.17905539959222,6.84394936253578,0.648258846643487,2.03604310430755,0.113148360164051,0.00106588550783796,0.656214807836679,0.368741232693126
linear-california,train,T,5,2.19305134178107,7.73780753505826,0.656813605170732,2.31745475648159,0.111575772847638,0.000436026500692185,0.679209914003438,0.398363428370109
linear-california,union,E,5,2.21068030306279,7.17572467820793,0.652529420120621,2.11806811538016,0.109626044207983,0.000764931188231296,0.640227436291201,0.343977874308518
linear-california,union,T,5,2.22848741855491,9.31200493750423,0.661612131690689,2.76462652906137,0.10769119871337,9.03332509718142e-05,0.666189493337975,0.349270714497811
linear-california,test,E,6,2.01970915634318,2.48484700570516,0.633014931693352,0.778797903967921,0.132694052691892,0.0833383038217984,0.673532129201219,0.237807005159731
linear-california,test,T,6,2.05443273615722,6.00989107065052,0.64428217091404,1.88473713342314,0.128165518624958,0.00245435551720313,0.707217807864564,0.252534588101886
